Ensayo,Resistencia (MPa),,,,
1,33.3,,,,
2,37.4,,,,
3,36.5,,,,
4,32.3,,,,
5,37.4,,,,
6,36.2,,,,
7,36.5,,,,
8,33.1,,,,
9,34.6,,,,
10,45.2,,,,
11,36.5,,,,
12,27.4,,,,
13,28.8,,,,
14,35.5,,,,
15,33.2,,,,
16,32.4,,,,
17,39.3,,,,
18,37.6,,,,
19,31.4,,,,
20,35.4,,,,
21,39.6,,,,
22,39.4,,,,
23,39.4,,,,
24,35.8,,,,
25,36.5,,,,
26,38.5,,,,
27,34.2,,,,
28,34.9,,,,
29,38.4,,,,
30,36.9,,,,
31,33.6,,,,
32,37.3,,,,
33,36.4,,,,
34,39.7,,,,
35,35.3,,,,
36,41.2,,,,
37,30,,,,
38,37.5,,,,
39,36.4,,,,
40,32.9,,,,
41,39.3,,,,
42,36.6,,,,
